outcome	0	1
No trance or possession	16	2
Possession	0	9
T and P,  but T not due to P	3	24
T due to P only; P causes T only	0	10
T due to P only; P explains T and others	1	24
Trance, no possession	20	6
Two T states, one due to P; P expl. T and others	3	28
Two T states, one due to P; P explains T only	1	4
