outcome	0	1
No trance or possession	3	15
Possession	3	6
T and P,  but T not due to P	0	27
T due to P only; P causes T only	0	10
T due to P only; P explains T and others	0	25
Trance, no possession	2	24
Two T states, one due to P; P expl. T and others	0	31
Two T states, one due to P; P explains T only	1	4
