outcome	0	1
No trance or possession	29	89
Possession	6	39
T and P,  but T not due to P	9	70
T due to P only; P causes T only	7	60
T due to P only; P explains T and others	6	79
Trance, no possession	14	121
Two T states, one due to P; P expl. T and others	6	87
Two T states, one due to P; P explains T only	8	28
