outcome	0	1
No trance or possession	80	38
Possession	28	17
T and P,  but T not due to P	63	16
T due to P only; P causes T only	24	43
T due to P only; P explains T and others	18	67
Trance, no possession	107	28
Two T states, one due to P; P expl. T and others	29	64
Two T states, one due to P; P explains T only	20	16
