Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run1/Independent/aut_sl.bttrees
Data File Name:                  Bayestraits/run1/Independent/aut_sl.btdata
Log File Name:                   Bayestraits/run1/Independent/aut_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2015151985
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run1/Independent/aut_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-71.812140	1	14.991088	4.561488	0.165454	0.154303	0.443557	0.056443	0.443557	0.056443	
61000	-70.392933	1	0.761210	0.224048	0.018859	0.207874	0.000967	0.540776	0.000818	0.457439	
62000	-72.969337	1	2.791986	0.770300	0.255651	0.369624	0.185441	0.314556	0.185443	0.314560	
63000	-71.850100	1	4.235074	1.602757	0.159145	0.234117	0.211534	0.288466	0.211534	0.288466	
64000	-72.385501	1	1.609928	0.519659	0.192335	0.370960	0.113713	0.386042	0.113825	0.386421	
65000	-72.179603	1	5.189406	1.966579	0.087021	0.210409	0.050431	0.449569	0.050431	0.449569	
66000	-72.768162	1	18.396600	5.388370	0.082062	0.178176	0.085826	0.414174	0.085826	0.414174	
67000	-73.586209	1	9.829064	2.522536	0.093177	0.113377	0.451340	0.048660	0.451340	0.048660	
68000	-72.516154	1	12.579449	4.362178	0.285525	0.168807	0.457755	0.042245	0.457755	0.042245	
69000	-68.774032	1	0.103084	0.172181	0.089253	0.202929	0.006641	0.044545	0.123094	0.825721	
70000	-70.800259	1	1.308247	0.391861	0.214131	0.230320	0.322170	0.178077	0.321851	0.177901	
71000	-75.142317	1	1.303925	0.273894	0.593080	0.529891	0.252259	0.254445	0.245584	0.247712	
72000	-81.741721	1	6.545421	4.230101	6.755877	6.020962	0.250000	0.250000	0.250000	0.250000	
73000	-79.011487	1	3.698958	1.329392	3.749243	3.379862	0.250000	0.250000	0.250000	0.250000	
74000	-72.097083	1	11.526562	4.509877	0.208051	0.259655	0.252944	0.247056	0.252944	0.247056	
75000	-72.423381	1	4.076540	1.302805	0.158050	0.312420	0.098356	0.401644	0.098356	0.401644	
76000	-68.746994	1	0.313449	0.219146	0.189382	0.183889	0.267108	0.065008	0.537154	0.130731	
77000	-72.496028	1	5.738623	1.613338	0.117642	0.141672	0.414122	0.085878	0.414122	0.085878	
78000	-72.372338	1	14.222719	4.226392	0.061169	0.250455	0.009264	0.490736	0.009264	0.490736	
79000	-71.879663	1	2.038807	0.516518	0.187570	0.080728	0.497276	0.002707	0.497309	0.002708	
80000	-75.057635	1	13.977499	7.435011	0.033748	0.336696	0.001957	0.498043	0.001957	0.498043	
81000	-74.310901	1	7.598073	1.819111	0.402927	0.344171	0.281220	0.218780	0.281220	0.218780	
82000	-72.458623	1	20.461972	4.979131	0.209767	0.164084	0.449892	0.050108	0.449892	0.050108	
83000	-79.209299	1	22.124306	8.647024	4.235751	2.612922	0.250000	0.250000	0.250000	0.250000	
84000	-71.577084	1	0.649735	0.275897	0.271853	0.423421	0.172384	0.321403	0.176722	0.329491	
85000	-79.045355	1	29.331320	10.950905	16.647297	12.727482	0.250000	0.250000	0.250000	0.250000	
86000	-71.916668	1	63.892861	20.701101	0.228779	0.154787	0.465134	0.034866	0.465134	0.034866	
87000	-72.481926	1	18.001344	7.936514	0.172630	0.277055	0.160868	0.339132	0.160868	0.339132	
88000	-69.489425	1	0.412655	0.153778	0.307318	0.311343	0.350149	0.289941	0.196882	0.163028	
89000	-70.162917	1	0.029484	0.181096	0.139639	0.365766	0.001257	0.010717	0.103723	0.884303	
90000	-75.838338	1	10.409532	6.936164	0.285566	0.367683	0.211914	0.288086	0.211914	0.288086	
91000	-72.530567	1	22.464115	7.973756	0.303777	0.247101	0.354971	0.145029	0.354971	0.145029	
92000	-76.761498	1	17.393460	2.674986	0.325274	0.153211	0.471762	0.028238	0.471762	0.028238	
93000	-78.991686	1	21.614532	7.625530	5.482097	4.319685	0.250000	0.250000	0.250000	0.250000	
94000	-80.630137	1	3.874639	2.195900	30.833543	26.867972	0.250000	0.250000	0.250000	0.250000	
95000	-73.155160	1	21.144546	6.701393	0.306059	0.142186	0.478677	0.021323	0.478677	0.021323	
96000	-78.731098	1	4.904514	1.501200	0.813570	1.052867	0.248305	0.251695	0.248305	0.251695	
97000	-72.297835	1	2.504185	1.119393	0.114256	0.179651	0.236571	0.263425	0.236575	0.263429	
98000	-73.465698	1	12.241011	4.282032	0.334267	0.157257	0.468880	0.031120	0.468880	0.031120	
99000	-69.725597	1	0.519219	0.131631	0.260781	0.226850	0.558972	0.200444	0.177084	0.063501	
100000	-72.625881	1	11.357649	2.869161	0.235374	0.252417	0.301042	0.198958	0.301042	0.198958	
101000	-75.034296	1	8.479457	5.632334	0.282354	0.227878	0.376518	0.123482	0.376518	0.123482	
102000	-73.380200	1	48.455894	10.534936	0.107562	0.202316	0.127949	0.372051	0.127949	0.372051	
103000	-76.086524	1	8.636877	6.258773	0.256843	0.318978	0.227516	0.272484	0.227516	0.272484	
104000	-80.133560	1	50.708762	10.703152	3.311676	2.528578	0.250000	0.250000	0.250000	0.250000	
105000	-72.691826	1	28.286509	11.748606	0.066291	0.187577	0.027830	0.472170	0.027830	0.472170	
106000	-73.285794	1	7.321394	1.679480	0.161683	0.298526	0.115597	0.384403	0.115597	0.384403	
107000	-72.284972	1	14.141337	5.186355	0.079128	0.203931	0.039651	0.460349	0.039651	0.460349	
108000	-74.236903	1	24.467728	4.400011	0.204456	0.244815	0.277284	0.222716	0.277284	0.222716	
109000	-74.110893	1	13.748376	6.181994	0.412163	0.370968	0.267044	0.232956	0.267044	0.232956	
110000	-72.191910	1	6.598402	2.290768	0.120353	0.131091	0.448376	0.051624	0.448376	0.051624	
111000	-73.288544	1	35.130703	10.801760	0.311806	0.372856	0.226409	0.273591	0.226409	0.273591	
112000	-71.947547	1	35.220999	14.560468	0.161666	0.170099	0.404718	0.095282	0.404718	0.095282	
113000	-76.682869	1	0.044730	0.186830	1.873279	0.878719	0.008869	0.008869	0.491130	0.491132	
114000	-73.490780	1	2.385324	1.128019	0.361632	0.234703	0.385334	0.114660	0.385344	0.114663	
115000	-72.844495	1	34.945518	16.681133	0.271619	0.214409	0.394215	0.105785	0.394215	0.105785	
116000	-72.972779	1	10.521610	2.285171	0.177186	0.106236	0.491536	0.008464	0.491536	0.008464	
117000	-72.206433	1	2.718654	1.190570	0.131639	0.270821	0.085471	0.414527	0.085472	0.414530	
118000	-73.918176	1	19.350483	9.156966	0.379793	0.278852	0.334461	0.165539	0.334461	0.165539	
119000	-72.891436	1	8.430236	3.129215	0.100910	0.084038	0.493343	0.006657	0.493343	0.006657	
120000	-69.109839	1	0.305597	0.152874	0.310373	0.276190	0.328313	0.190015	0.305095	0.176577	
121000	-72.667985	1	30.787212	14.039082	0.044115	0.231108	0.004638	0.495362	0.004638	0.495362	
122000	-72.107256	1	11.047683	3.153824	0.188110	0.236096	0.269748	0.230252	0.269748	0.230252	
123000	-78.420962	1	2.558565	0.799559	2.632688	1.650390	0.249996	0.249997	0.250003	0.250004	
124000	-72.727785	1	5.452704	1.390762	0.067998	0.207171	0.020898	0.479102	0.020898	0.479102	
125000	-74.207360	1	6.359462	3.172848	0.389549	0.287369	0.327076	0.172924	0.327076	0.172924	
126000	-71.469749	1	1.627221	0.638638	0.145668	0.273393	0.110854	0.388817	0.111000	0.389330	
127000	-70.221345	1	0.513098	0.099754	0.256765	0.215247	0.686562	0.201943	0.086154	0.025341	
128000	-80.082865	1	13.668507	3.058945	25.105686	17.871986	0.250000	0.250000	0.250000	0.250000	
129000	-76.400299	1	20.603179	3.519042	0.341127	0.419997	0.219703	0.280297	0.219703	0.280297	
130000	-71.846366	1	5.548250	2.189006	0.212470	0.198554	0.390301	0.109699	0.390301	0.109699	
131000	-71.778367	1	1.506589	0.687609	0.110556	0.253022	0.060451	0.438979	0.060589	0.439980	
132000	-74.798486	1	16.359041	3.943147	0.388371	0.439989	0.231966	0.268034	0.231966	0.268034	
133000	-71.806949	1	7.317249	2.428165	0.145970	0.133005	0.465868	0.034132	0.465868	0.034132	
134000	-73.686182	1	11.390276	4.307111	0.413181	0.345779	0.282357	0.217643	0.282357	0.217643	
135000	-72.722507	1	9.332530	4.564577	0.167693	0.256331	0.184393	0.315607	0.184393	0.315607	
136000	-80.947576	1	7.898288	1.571158	3.368989	1.921281	0.250000	0.250000	0.250000	0.250000	
137000	-73.018355	1	14.458104	7.067696	0.021557	0.213745	0.001129	0.498871	0.001129	0.498871	
138000	-72.573885	1	4.766739	1.227327	0.117094	0.188239	0.213869	0.286131	0.213869	0.286131	
139000	-72.781780	1	11.683048	3.883545	0.327427	0.253293	0.353961	0.146039	0.353961	0.146039	
140000	-77.671523	1	9.548289	7.001763	0.451975	0.342513	0.290721	0.209279	0.290721	0.209279	
141000	-79.262327	1	24.303483	6.825913	8.037121	6.092416	0.250000	0.250000	0.250000	0.250000	
142000	-76.171248	1	27.428256	7.063324	0.512903	0.594092	0.236270	0.263730	0.236270	0.263730	
143000	-73.948859	1	15.630808	8.498598	0.088571	0.302849	0.018932	0.481068	0.018932	0.481068	
144000	-80.154821	1	55.368367	17.039074	10.582897	5.395989	0.250000	0.250000	0.250000	0.250000	
145000	-72.962302	1	6.241654	1.565470	0.247035	0.304465	0.233932	0.266068	0.233932	0.266068	
146000	-73.682881	1	5.041223	3.086072	0.195247	0.155084	0.457062	0.042938	0.457062	0.042938	
147000	-72.349421	1	11.754292	3.806104	0.200905	0.079537	0.497491	0.002509	0.497491	0.002509	
148000	-71.775991	1	5.038164	1.893148	0.213162	0.135594	0.479165	0.020835	0.479165	0.020835	
149000	-71.731882	1	10.602718	3.838018	0.198507	0.131105	0.480746	0.019254	0.480746	0.019254	
150000	-71.933407	1	8.654645	3.379572	0.228604	0.171291	0.445878	0.054122	0.445878	0.054122	
151000	-76.793334	1	29.633704	8.987530	0.122517	0.483634	0.029579	0.470421	0.029579	0.470421	
152000	-73.778079	1	9.223658	1.839495	0.098268	0.246466	0.043954	0.456046	0.043954	0.456046	
153000	-68.385529	1	0.170532	0.177890	0.171277	0.193439	0.094362	0.038839	0.614058	0.252742	
154000	-73.118658	1	9.101985	2.982969	0.322914	0.170970	0.457519	0.042481	0.457519	0.042481	
155000	-72.345093	1	5.600360	2.279202	0.258449	0.271507	0.290391	0.209609	0.290391	0.209609	
156000	-70.399097	1	0.431264	0.050510	0.208829	0.237646	0.593816	0.398910	0.004352	0.002923	
157000	-73.551381	1	19.161574	10.012288	0.123550	0.069845	0.497921	0.002079	0.497921	0.002079	
158000	-78.435899	1	1.775784	0.477767	40.112669	28.469901	0.249991	0.249991	0.250009	0.250009	
159000	-78.684164	1	6.014395	3.536361	0.902013	0.591228	0.251919	0.248081	0.251919	0.248081	
160000	-73.672428	1	33.274187	16.346717	0.292018	0.134978	0.482481	0.017519	0.482481	0.017519	
161000	-72.661498	1	31.136006	9.046342	0.260791	0.126343	0.486208	0.013792	0.486208	0.013792	
162000	-74.740978	1	8.242668	3.162431	0.479643	0.486151	0.242758	0.257242	0.242758	0.257242	
163000	-73.043542	1	13.174520	4.617861	0.226396	0.363396	0.158837	0.341163	0.158837	0.341163	
164000	-72.117780	1	13.044701	3.513830	0.161266	0.108743	0.489566	0.010434	0.489566	0.010434	
165000	-74.044471	1	9.955652	2.245647	0.351252	0.269396	0.339410	0.160590	0.339410	0.160590	
166000	-72.049364	1	21.725346	5.931549	0.178751	0.175723	0.410401	0.089599	0.410401	0.089599	
167000	-74.742092	1	8.479033	5.296405	0.303565	0.263917	0.330370	0.169630	0.330370	0.169630	
168000	-72.269907	1	3.811849	1.479256	0.013842	0.237338	0.000432	0.499568	0.000432	0.499568	
169000	-69.052364	1	0.473678	0.218431	0.235692	0.148864	0.468305	0.028467	0.474391	0.028837	
170000	-73.700635	1	11.524146	2.797599	0.324620	0.190100	0.437856	0.062144	0.437856	0.062144	
171000	-71.894995	1	9.907519	2.814267	0.177565	0.149621	0.457729	0.042271	0.457729	0.042271	
172000	-72.927379	1	0.271363	0.133979	0.770704	0.681172	0.275353	0.278996	0.221362	0.224290	
173000	-74.601576	1	7.870831	4.569998	0.206498	0.061472	0.498983	0.001017	0.498983	0.001017	
174000	-72.454831	1	20.978783	6.647449	0.078358	0.278063	0.015412	0.484588	0.015412	0.484588	
175000	-72.646264	1	35.381609	8.678508	0.155234	0.243081	0.181305	0.318695	0.181305	0.318695	
176000	-72.207296	1	7.346636	2.998905	0.127332	0.122407	0.470111	0.029889	0.470111	0.029889	
177000	-68.980000	1	0.412384	0.210137	0.218794	0.263420	0.245077	0.223984	0.277408	0.253532	
178000	-74.030728	1	6.155141	2.812027	0.254540	0.068439	0.498504	0.001496	0.498504	0.001496	
179000	-70.218935	1	0.301401	0.263143	0.014175	0.240967	0.000235	0.262762	0.000659	0.736344	
180000	-71.941742	1	21.660150	7.764989	0.231610	0.147302	0.472214	0.027786	0.472214	0.027786	
181000	-72.955645	1	0.826357	0.158865	0.367732	0.214963	0.508730	0.110626	0.312655	0.067988	
182000	-73.224307	1	17.480382	5.437879	0.351579	0.228903	0.391680	0.108320	0.391680	0.108320	
