Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/run2/Independent/aut_dom.bttrees
Data File Name:                  Bayestraits/run2/Independent/aut_dom.btdata
Log File Name:                   Bayestraits/run2/Independent/aut_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4061972766
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/run2/Independent/aut_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       67
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-87.599407	1	7.743566	9.268092	3.063036	2.483186	0.250000	0.250000	0.250000	0.250000	
61000	-87.584172	1	2.345369	4.001255	4.265113	2.036996	0.250000	0.250000	0.250000	0.250000	
62000	-80.156510	1	3.001613	8.232862	0.205404	0.222187	0.329626	0.170374	0.329626	0.170374	
63000	-81.108311	1	6.648171	11.235151	0.093399	0.360655	0.017347	0.482653	0.017347	0.482653	
64000	-79.215953	1	13.406805	25.172129	0.184170	0.249539	0.232237	0.267763	0.232237	0.267763	
65000	-79.594884	1	6.784741	14.902443	0.089717	0.221643	0.046036	0.453964	0.046036	0.453964	
66000	-79.625194	1	6.657264	14.372825	0.061488	0.246324	0.009683	0.490317	0.009683	0.490317	
67000	-79.995706	1	1.878033	3.304406	0.098440	0.135720	0.381213	0.118787	0.381213	0.118787	
68000	-79.088964	1	14.860635	25.774124	0.180691	0.202364	0.344555	0.155445	0.344555	0.155445	
69000	-86.383309	1	3.747457	7.818507	6.811831	5.466406	0.250000	0.250000	0.250000	0.250000	
70000	-80.659266	1	6.443388	16.512802	0.254234	0.103868	0.493484	0.006516	0.493484	0.006516	
71000	-82.800061	1	3.693704	6.277108	0.010332	0.374658	0.000202	0.499798	0.000202	0.499798	
72000	-79.111754	1	1.825898	3.844765	0.216647	0.142070	0.474774	0.025226	0.474774	0.025226	
73000	-86.421347	1	11.910650	21.692209	31.237841	20.108373	0.250000	0.250000	0.250000	0.250000	
74000	-86.119571	1	2.948574	5.731970	4.002766	3.091549	0.250000	0.250000	0.250000	0.250000	
75000	-81.929653	1	8.781460	14.824957	0.515486	0.410068	0.265977	0.234023	0.265977	0.234023	
76000	-81.527455	1	9.004114	13.189143	0.302270	0.425329	0.195903	0.304097	0.195903	0.304097	
77000	-79.106160	1	0.973902	1.461268	0.160675	0.090562	0.495111	0.004687	0.495511	0.004691	
78000	-79.355728	1	2.629944	5.736728	0.229357	0.230568	0.337802	0.162198	0.337802	0.162198	
79000	-80.592962	1	10.505638	27.828102	0.293373	0.264447	0.324646	0.175354	0.324646	0.175354	
80000	-79.683467	1	3.247694	4.693715	0.135101	0.146012	0.431564	0.068436	0.431564	0.068436	
81000	-83.473599	1	13.749675	24.811728	0.283244	0.557408	0.160925	0.339075	0.160925	0.339075	
82000	-80.087822	1	0.664744	1.088678	0.349815	0.352486	0.257945	0.240355	0.259705	0.241995	
83000	-86.524734	1	9.521660	7.887935	0.262910	0.432845	0.164198	0.335802	0.164198	0.335802	
84000	-81.139105	1	3.330186	4.795659	0.203725	0.049801	0.499488	0.000512	0.499488	0.000512	
85000	-80.130067	1	8.297601	13.197328	0.030207	0.180409	0.002827	0.497173	0.002827	0.497173	
86000	-80.584930	1	2.018881	3.954269	0.377424	0.352395	0.268824	0.231176	0.268824	0.231176	
87000	-78.968065	1	0.660684	1.127635	0.197924	0.273151	0.212223	0.285938	0.213790	0.288049	
88000	-79.092794	1	0.361712	0.826390	0.215952	0.177561	0.403551	0.063529	0.460436	0.072484	
89000	-83.043201	1	2.348941	5.282034	0.287131	0.527413	0.165428	0.334572	0.165428	0.334572	
90000	-80.620670	1	21.214766	30.002827	0.253861	0.340685	0.204392	0.295608	0.204392	0.295608	
91000	-80.351598	1	1.624865	4.166936	0.249175	0.304597	0.235985	0.264015	0.235985	0.264015	
92000	-81.069211	1	0.376637	1.183990	0.220621	0.243281	0.292327	0.191143	0.312317	0.204213	
93000	-81.268393	1	3.372949	5.368466	0.297677	0.092902	0.495525	0.004475	0.495525	0.004475	
94000	-80.821045	1	4.059616	5.510816	0.298178	0.332827	0.247189	0.252811	0.247189	0.252811	
95000	-78.998293	1	5.450149	9.219623	0.174211	0.141195	0.467170	0.032830	0.467170	0.032830	
96000	-84.178277	1	18.048828	28.910778	0.696414	0.364451	0.283546	0.216454	0.283546	0.216454	
97000	-79.060791	1	8.111890	15.890084	0.149544	0.120410	0.480729	0.019271	0.480729	0.019271	
98000	-79.327636	1	11.601798	23.758481	0.133663	0.199377	0.237424	0.262576	0.237424	0.262576	
99000	-79.940337	1	4.148230	6.519064	0.135038	0.301998	0.068959	0.431041	0.068959	0.431041	
100000	-82.663389	1	2.792273	3.595481	0.493518	0.423704	0.259360	0.240640	0.259360	0.240640	
101000	-79.031066	1	4.406723	7.757870	0.203544	0.132602	0.480262	0.019738	0.480262	0.019738	
102000	-82.705852	1	12.158475	21.506173	0.511528	0.567921	0.237754	0.262246	0.237754	0.262246	
103000	-80.182922	1	4.227282	8.672743	0.303712	0.336872	0.247239	0.252761	0.247239	0.252761	
104000	-80.323869	1	2.189518	2.742842	0.240824	0.239071	0.331422	0.168578	0.331422	0.168578	
105000	-86.497036	1	4.786046	7.848229	9.618714	7.975402	0.250000	0.250000	0.250000	0.250000	
106000	-80.323137	1	1.654859	4.097631	0.243896	0.101124	0.494088	0.005912	0.494088	0.005912	
107000	-80.034544	1	4.475377	5.873403	0.204807	0.218430	0.337683	0.162317	0.337683	0.162317	
108000	-80.745490	1	17.383674	21.306799	0.246021	0.147841	0.473069	0.026931	0.473069	0.026931	
109000	-81.159305	1	9.748266	11.176549	0.249048	0.214019	0.384520	0.115480	0.384520	0.115480	
110000	-80.480396	1	3.195754	7.014302	0.114780	0.333946	0.034512	0.465488	0.034512	0.465488	
111000	-79.977359	1	5.997116	10.677006	0.030580	0.178909	0.002946	0.497054	0.002946	0.497054	
112000	-80.002756	1	2.668327	6.032233	0.272384	0.305524	0.256087	0.243913	0.256087	0.243913	
113000	-79.954054	1	12.894735	31.575188	0.202112	0.281892	0.206124	0.293876	0.206124	0.293876	
114000	-80.077615	1	2.839483	3.568389	0.176175	0.112984	0.488818	0.011182	0.488818	0.011182	
115000	-84.780272	1	3.188247	7.770483	0.909605	0.586151	0.252094	0.247906	0.252094	0.247906	
116000	-86.334356	1	5.836871	10.753235	14.265540	11.504756	0.250000	0.250000	0.250000	0.250000	
117000	-87.098594	1	11.069322	17.968984	8.507630	4.668563	0.250000	0.250000	0.250000	0.250000	
118000	-82.654036	1	5.460076	10.766177	0.606293	0.414198	0.269485	0.230515	0.269485	0.230515	
119000	-79.506298	1	23.107312	47.703572	0.159267	0.278245	0.132773	0.367227	0.132773	0.367227	
120000	-87.346949	1	10.217900	19.782277	25.877121	27.373762	0.250000	0.250000	0.250000	0.250000	
121000	-78.980642	1	4.084273	8.064002	0.197222	0.136915	0.476344	0.023656	0.476344	0.023656	
122000	-80.715025	1	7.633020	11.287283	0.296342	0.133382	0.483273	0.016727	0.483273	0.016727	
123000	-86.355796	1	7.142615	12.146397	16.086242	11.286109	0.250000	0.250000	0.250000	0.250000	
124000	-80.261486	1	2.123036	5.218102	0.249804	0.313858	0.226016	0.273984	0.226016	0.273984	
125000	-80.209654	1	5.881994	8.182480	0.064916	0.204932	0.018327	0.481673	0.018327	0.481673	
126000	-79.577656	1	1.430523	2.853661	0.287001	0.260959	0.326393	0.173606	0.326395	0.173606	
127000	-80.074153	1	1.110545	2.866241	0.224348	0.269979	0.257079	0.242917	0.257083	0.242920	
128000	-79.603636	1	19.726950	43.333704	0.073955	0.232000	0.019637	0.480363	0.019637	0.480363	
129000	-80.096990	1	3.768569	5.132017	0.169168	0.273038	0.159805	0.340195	0.159805	0.340195	
130000	-79.560727	1	2.179778	4.700749	0.171829	0.284503	0.149359	0.350641	0.149359	0.350641	
131000	-79.951049	1	6.030446	14.537693	0.093016	0.262754	0.030085	0.469915	0.030085	0.469915	
132000	-79.332500	1	4.599568	9.323994	0.142958	0.085971	0.495774	0.004226	0.495774	0.004226	
133000	-78.896147	1	2.273575	3.977604	0.172469	0.120890	0.484321	0.015679	0.484321	0.015679	
134000	-81.585550	1	1.208436	3.954168	0.102791	0.210912	0.092551	0.407448	0.092551	0.407449	
135000	-79.894767	1	10.755410	16.700728	0.114116	0.109499	0.478974	0.021026	0.478974	0.021026	
136000	-81.592939	1	4.259010	5.625165	0.111345	0.352883	0.029027	0.470973	0.029027	0.470973	
137000	-80.879534	1	6.699432	11.468081	0.191654	0.044030	0.499653	0.000347	0.499653	0.000347	
138000	-85.879321	1	2.966289	4.945053	1.358538	1.396478	0.249946	0.250054	0.249946	0.250054	
139000	-83.772509	1	3.612487	6.982514	0.668421	0.352399	0.289087	0.210913	0.289087	0.210913	
140000	-80.146052	1	11.309882	22.978373	0.042276	0.291799	0.003312	0.496688	0.003312	0.496688	
141000	-79.396162	1	2.498800	4.212660	0.124741	0.130683	0.454186	0.045814	0.454186	0.045814	
142000	-79.124347	1	8.746447	18.262623	0.155058	0.109606	0.488580	0.011420	0.488580	0.011420	
143000	-81.463139	1	30.340883	32.269227	0.188510	0.174145	0.422174	0.077826	0.422174	0.077826	
144000	-79.453086	1	14.693063	31.076657	0.173828	0.268982	0.175434	0.324566	0.175434	0.324566	
145000	-79.318368	1	4.527052	8.358798	0.126290	0.248874	0.098122	0.401878	0.098122	0.401878	
146000	-79.762767	1	3.454973	5.393876	0.177268	0.295763	0.145867	0.354133	0.145867	0.354133	
147000	-79.114818	1	44.141696	76.983891	0.192779	0.215363	0.328838	0.171162	0.328838	0.171162	
148000	-81.356770	1	5.497331	6.220084	0.073367	0.233820	0.018699	0.481301	0.018699	0.481301	
149000	-80.827897	1	2.739997	3.685371	0.130060	0.327166	0.051864	0.448136	0.051864	0.448136	
150000	-81.491954	1	8.150061	27.230550	0.145601	0.158881	0.412376	0.087624	0.412376	0.087624	
151000	-79.354484	1	9.904571	21.365402	0.148129	0.227678	0.198009	0.301991	0.198009	0.301991	
152000	-80.937945	1	4.113002	11.178483	0.095030	0.304286	0.023134	0.476866	0.023134	0.476866	
153000	-79.514453	1	9.345000	20.920656	0.133607	0.152866	0.410112	0.089888	0.410112	0.089888	
154000	-80.401630	1	3.415003	8.238446	0.135901	0.317625	0.062650	0.437350	0.062650	0.437350	
155000	-80.610320	1	18.081835	35.742280	0.277959	0.387697	0.194567	0.305433	0.194567	0.305433	
156000	-80.346131	1	2.854819	6.752125	0.069008	0.296198	0.009866	0.490134	0.009866	0.490134	
157000	-79.584636	1	1.494626	3.383791	0.257459	0.176279	0.446109	0.053891	0.446110	0.053891	
158000	-80.463447	1	3.227524	3.982229	0.214603	0.246008	0.289149	0.210851	0.289149	0.210851	
159000	-81.305845	1	3.920869	7.656157	0.448741	0.392107	0.264225	0.235775	0.264225	0.235775	
160000	-83.678394	1	14.265204	26.980139	0.794004	0.561118	0.252636	0.247364	0.252636	0.247364	
161000	-80.700438	1	4.992148	10.634109	0.088700	0.097150	0.478326	0.021674	0.478326	0.021674	
162000	-82.675840	1	9.429278	11.018826	0.415747	0.302810	0.316213	0.183787	0.316213	0.183787	
163000	-79.640594	1	1.872655	4.604559	0.193310	0.233652	0.284606	0.215394	0.284606	0.215394	
164000	-80.390526	1	15.817704	28.145285	0.356515	0.319168	0.287840	0.212160	0.287840	0.212160	
165000	-79.843220	1	5.917050	10.970990	0.308017	0.235655	0.373454	0.126546	0.373454	0.126546	
166000	-79.335289	1	2.510200	5.069608	0.254902	0.192282	0.423481	0.076519	0.423481	0.076519	
167000	-79.995808	1	3.414270	4.818705	0.078187	0.215609	0.030448	0.469552	0.030448	0.469552	
168000	-79.827666	1	3.964322	6.449359	0.268986	0.143629	0.477207	0.022793	0.477207	0.022793	
169000	-81.884719	1	13.025256	18.737681	0.446142	0.410076	0.256656	0.243344	0.256656	0.243344	
170000	-83.751579	1	2.735100	8.189899	0.005641	0.124414	0.000159	0.499841	0.000159	0.499841	
171000	-80.526047	1	8.701076	11.933324	0.177319	0.316351	0.126135	0.373865	0.126135	0.373865	
