Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/atl_dom.bttrees
Data File Name:                  Bayestraits/Independent/atl_dom.btdata
Log File Name:                   Bayestraits/Independent/atl_dom.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2154076988
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/atl_dom.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       111
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
60000	-96.091737	1	2.533001	44.702305	6.380794	3.827180	0.250000	0.250000	0.250000	0.250000	
61000	-91.458701	1	0.513744	7.835141	0.245942	0.192205	0.076797	0.423203	0.076797	0.423203	
62000	-91.528850	1	0.616905	7.382705	0.204824	0.187154	0.049850	0.450150	0.049850	0.450150	
63000	-96.887442	1	0.485711	5.181103	2.706843	1.787830	0.249999	0.250001	0.249999	0.250001	
64000	-96.149728	1	0.446732	8.059674	15.659605	10.763994	0.250000	0.250000	0.250000	0.250000	
65000	-96.578915	1	0.373848	6.362884	29.386101	15.203367	0.250000	0.250000	0.250000	0.250000	
66000	-90.996773	1	0.730403	15.364377	0.150044	0.147213	0.024329	0.475671	0.024329	0.475671	
67000	-96.935375	1	2.888239	31.056517	7.487911	5.165188	0.250000	0.250000	0.250000	0.250000	
68000	-98.814859	1	0.726189	5.364078	23.540874	15.302149	0.250000	0.250000	0.250000	0.250000	
69000	-96.185859	1	0.970318	18.052150	1.946955	1.358193	0.249977	0.250023	0.249977	0.250023	
70000	-96.977507	1	0.861245	13.248733	35.143436	28.689690	0.250000	0.250000	0.250000	0.250000	
71000	-91.345299	1	0.228215	4.519745	0.232452	0.196625	0.066578	0.433422	0.066578	0.433421	
72000	-94.208151	1	0.419262	16.523084	0.349335	0.205045	0.143523	0.356477	0.143523	0.356477	
73000	-96.850706	1	3.153343	51.260590	5.994722	4.825960	0.250000	0.250000	0.250000	0.250000	
74000	-96.776660	1	2.757203	30.911018	5.071782	3.462674	0.250000	0.250000	0.250000	0.250000	
75000	-96.211431	1	1.910063	29.679178	14.435594	8.311266	0.250000	0.250000	0.250000	0.250000	
76000	-97.097145	1	1.857227	41.427541	19.871027	16.252567	0.250000	0.250000	0.250000	0.250000	
77000	-96.620613	1	0.698576	11.888368	45.780215	35.550820	0.250000	0.250000	0.250000	0.250000	
78000	-96.404252	1	1.188634	29.938561	6.195318	3.805753	0.250000	0.250000	0.250000	0.250000	
79000	-91.538033	1	0.696837	11.635729	0.253001	0.177751	0.086007	0.413993	0.086007	0.413993	
80000	-97.865182	1	2.216713	20.298692	6.022073	4.488663	0.250000	0.250000	0.250000	0.250000	
81000	-96.078027	1	3.259970	54.528828	4.165385	2.540187	0.250000	0.250000	0.250000	0.250000	
82000	-96.340692	1	0.511294	9.723047	34.434398	25.086800	0.250000	0.250000	0.250000	0.250000	
83000	-91.205365	1	2.395665	57.766629	0.188750	0.167580	0.042600	0.457400	0.042600	0.457400	
84000	-96.249301	1	0.181609	4.138263	15.371998	10.003528	0.250001	0.250001	0.249999	0.249999	
85000	-90.874291	1	1.502015	28.303190	0.167228	0.174231	0.030245	0.469755	0.030245	0.469755	
86000	-91.851020	1	0.365590	8.141809	0.070644	0.149933	0.003331	0.496669	0.003331	0.496669	
87000	-98.068026	1	1.880670	56.031392	35.874297	16.447188	0.250000	0.250000	0.250000	0.250000	
88000	-96.252097	1	1.065199	23.093098	4.266675	2.501389	0.250000	0.250000	0.250000	0.250000	
89000	-96.781083	1	0.209373	3.470741	5.016755	3.998254	0.250005	0.250005	0.249995	0.249995	
90000	-96.378985	1	0.883931	22.040234	20.848888	12.975462	0.250000	0.250000	0.250000	0.250000	
91000	-96.390668	1	1.339762	21.607702	10.253538	5.547479	0.250000	0.250000	0.250000	0.250000	
92000	-96.620641	1	0.862519	10.685515	37.137708	26.467648	0.250000	0.250000	0.250000	0.250000	
93000	-94.937182	1	0.936810	31.080651	0.368149	0.334628	0.144173	0.355827	0.144173	0.355827	
94000	-91.876266	1	5.630026	57.419691	0.145176	0.146889	0.022214	0.477786	0.022214	0.477786	
95000	-92.084503	1	1.009652	17.704112	0.275173	0.243001	0.090083	0.409917	0.090083	0.409917	
96000	-91.163842	1	0.363212	4.665103	0.163170	0.155545	0.029818	0.470182	0.029818	0.470182	
97000	-97.262336	1	0.780896	9.204084	1.214599	0.592462	0.247806	0.252194	0.247806	0.252194	
98000	-91.122086	1	1.456574	26.967699	0.210962	0.188660	0.053519	0.446481	0.053519	0.446481	
99000	-93.367210	1	1.255903	14.705149	0.267743	0.276711	0.084766	0.415234	0.084766	0.415234	
100000	-96.340913	1	0.320534	4.479303	2.221191	1.553664	0.249995	0.250006	0.249994	0.250005	
101000	-92.983593	1	1.529337	18.241560	0.066691	0.116379	0.002998	0.497002	0.002998	0.497002	
102000	-99.407145	1	1.341852	10.650823	21.527887	18.110730	0.250000	0.250000	0.250000	0.250000	
103000	-96.662369	1	0.578469	6.638555	25.866240	15.550838	0.250000	0.250000	0.250000	0.250000	
104000	-96.515930	1	0.254709	6.789518	6.270094	4.107392	0.250000	0.250000	0.250000	0.250000	
105000	-96.259734	1	1.773691	24.249163	12.834313	7.816386	0.250000	0.250000	0.250000	0.250000	
106000	-97.246655	1	0.995328	19.630498	14.787215	6.929544	0.250000	0.250000	0.250000	0.250000	
107000	-94.499743	1	4.315817	29.832331	0.190002	0.205169	0.040065	0.459935	0.040065	0.459935	
108000	-92.630696	1	1.878227	19.616548	0.077268	0.132842	0.004287	0.495713	0.004287	0.495713	
109000	-91.358356	1	0.182564	3.230093	0.088987	0.144162	0.006103	0.493917	0.006103	0.493877	
110000	-96.646448	1	0.633336	16.123050	14.547391	10.504858	0.250000	0.250000	0.250000	0.250000	
111000	-96.545445	1	1.906832	26.109102	11.279251	8.301539	0.250000	0.250000	0.250000	0.250000	
112000	-96.387491	1	1.827876	33.290299	10.137019	7.499775	0.250000	0.250000	0.250000	0.250000	
113000	-96.166356	1	1.726448	25.237945	18.553635	11.348851	0.250000	0.250000	0.250000	0.250000	
114000	-96.963295	1	1.083550	16.355608	15.895135	12.919167	0.250000	0.250000	0.250000	0.250000	
115000	-96.485356	1	2.113776	48.049479	10.937018	6.020182	0.250000	0.250000	0.250000	0.250000	
116000	-96.448336	1	1.386990	26.841320	0.764903	0.355058	0.231653	0.268347	0.231653	0.268347	
117000	-92.890694	1	0.263156	2.897524	0.227073	0.248202	0.059818	0.440228	0.059807	0.440146	
118000	-97.543492	1	2.014251	23.218131	3.984489	3.277866	0.250000	0.250000	0.250000	0.250000	
119000	-97.145539	1	3.490701	36.666832	10.458231	5.794909	0.250000	0.250000	0.250000	0.250000	
120000	-94.980985	1	2.319355	32.341813	0.307832	0.347319	0.112786	0.387214	0.112786	0.387214	
121000	-96.497324	1	0.472801	12.208986	13.200393	7.805664	0.250000	0.250000	0.250000	0.250000	
122000	-96.435007	1	0.949202	24.325490	36.775872	22.601785	0.250000	0.250000	0.250000	0.250000	
123000	-92.732554	1	0.382614	8.439642	0.217540	0.260049	0.054366	0.445634	0.054366	0.445634	
124000	-96.229660	1	0.838613	18.757530	8.306462	5.437262	0.250000	0.250000	0.250000	0.250000	
125000	-96.619824	1	0.841842	9.737450	1.509157	0.893161	0.249643	0.250357	0.249643	0.250357	
126000	-96.750281	1	1.561435	33.308843	25.102821	12.820727	0.250000	0.250000	0.250000	0.250000	
127000	-96.677002	1	0.813791	11.808975	19.649468	15.127605	0.250000	0.250000	0.250000	0.250000	
128000	-96.263354	1	2.019648	27.235001	4.881635	3.087709	0.250000	0.250000	0.250000	0.250000	
129000	-97.011616	1	1.797380	37.823275	8.683655	4.237563	0.250000	0.250000	0.250000	0.250000	
130000	-97.509826	1	1.362118	20.064358	1.495320	0.676380	0.249331	0.250669	0.249331	0.250669	
131000	-96.669255	1	0.397889	9.721074	5.626923	3.035827	0.250000	0.250000	0.250000	0.250000	
132000	-96.758197	1	1.337736	21.029620	11.652245	9.216523	0.250000	0.250000	0.250000	0.250000	
133000	-96.731010	1	0.952139	28.212716	21.223448	13.495970	0.250000	0.250000	0.250000	0.250000	
134000	-96.643936	1	0.385217	4.628938	19.484387	11.110571	0.250000	0.250000	0.250000	0.250000	
135000	-96.720824	1	3.102569	34.544195	10.598060	6.743554	0.250000	0.250000	0.250000	0.250000	
136000	-96.152454	1	1.694900	24.771907	11.021063	7.007604	0.250000	0.250000	0.250000	0.250000	
137000	-95.433338	1	0.090529	0.645470	0.049001	0.174645	0.001670	0.664141	0.000838	0.333351	
138000	-97.457008	1	0.172995	1.816388	8.337770	6.398930	0.251003	0.251003	0.248997	0.248997	
139000	-96.321033	1	0.531084	12.587271	22.005372	13.295302	0.250000	0.250000	0.250000	0.250000	
140000	-96.652811	1	1.300244	18.529705	26.323230	13.758166	0.250000	0.250000	0.250000	0.250000	
141000	-96.819522	1	0.770317	16.028723	8.642559	6.852015	0.250000	0.250000	0.250000	0.250000	
142000	-96.478526	1	6.597793	82.926929	13.420989	9.173336	0.250000	0.250000	0.250000	0.250000	
143000	-97.281418	1	1.005113	9.681083	8.507371	5.551653	0.250000	0.250000	0.250000	0.250000	
144000	-96.547532	1	1.700043	27.935064	16.205774	8.452010	0.250000	0.250000	0.250000	0.250000	
145000	-97.853449	1	1.581068	13.672243	5.200293	3.091832	0.250000	0.250000	0.250000	0.250000	
146000	-98.606440	1	4.691149	36.262460	10.460761	7.270618	0.250000	0.250000	0.250000	0.250000	
147000	-98.873146	1	0.179621	2.787900	1.648029	1.640235	0.250013	0.250070	0.249930	0.249987	
148000	-96.359201	1	0.347737	8.358620	8.204337	4.896729	0.250000	0.250000	0.250000	0.250000	
149000	-98.743433	1	1.205736	16.334631	4.746066	4.609973	0.250000	0.250000	0.250000	0.250000	
